Team,,,NBA Name,,Arena,,,Conference ,,Division,,Championships,,Conference Titles,,Division Titles,,Head Coach,,General Manager
Atlanta Hawks,,,Hawks,,State Farm Arena,,,Eastern,,SOUTHEAST,,1,,0,,12,,Nate McMillan,,"Travis Schlenk	"
Boston Celtics,,,Celtics,,TD Garden,,,Eastern,,Atlantic,,17,,9,,31,,"Ime Udoka	",,Brad Stevens
Brooklyn Nets,,,Nets,,Barclays Center,,,Eastern,,Atlantic,,2,,2,,5,,"Steve Nash	",,"Sean Marks	"
Charlotte Hornets,,,Hornets,,Spectrum Center,,,Eastern,,SOUTHEAST,,0,,0,,0,,"James Borrego	",,"Mitch Kupchak	"
Chicago Bulls,,,Bulls,,United Center,,,Eastern,,Central,,6,,6,,9,,"Billy Donovan	",,"Marc Eversley	"
Cleveland Cavaliers,,,Cavaliers,,Rocket Mortgage Fieldhouse,,,Eastern,,Central,,1,,5,,7,,"Larry Drew	",,"Koby Altman	"
Dallas Mavericks,,,Mavericks,,American Airlines Center,,,Western,,SOUTHWEST,,1,,2,,4,,"Jason Kidd	",,"Nico Harrison	"
Denver Nuggets,,,Nuggets,,Pepsi Center,,,Western,,NORTHWEST,,0,,0,,11,,"Michael Malone	",,"Calvin Booth	"
Detroit Pistons,,,Pistons,,Little Caesars Arena,,,Eastern,,Central,,3,,5,,11,,"Dwane Casey	",,"Troy Weaver	"
Golden State Warriors,,,Warriors,,Chase Center,,,Western,,PACIFIC,,6,,6,,12,,"Steve Kerr	",,"Bob Myers	"
Houston Rockets,,,Rockets,,Toyota Center,,,Western,,SOUTHWEST,,2,,4,,8,,"Stephen Silas	",,"Rafael Stone	"
Indiana Pacers,,,Pacers,,Bankers Life Fieldhouse,,,Eastern,,Central,,3,,1,,9,,"Rick Carlisle	",,"Chad Buchanan	"
Los Angeles Clippers,,,Clippers,,Staples Center,,,Western,,PACIFIC,,0,,0,,2,,"Tyronn Lue	",,"Michael Winger	"
Los Angeles Lakers,,,Lakers,,Staples Center,,,Western,,PACIFIC,,17,,19,,33,,"Frank Vogel	",,"Rob Pelinka	"
Memphis Grizzlies,,,Grizzlies,,FedEx Forum,,,Western,,SOUTHWEST,,0,,0,,0,,"Taylor Jenkins	",,"Zach Kleiman	"
Miami Heat,,,Heat,,American Airlines Center,,,Eastern,,SOUTHEAST,,3,,6,,14,,"Erik Spoelstra	",,"Andy Elisburg	"
Milwaukee Bucks,,,Bucks,,Fiserv Forum,,,Eastern,,Central,,2,,3,,16,,"Mike Budenholzer	",,"Jon Horst	"
Minnesota Timberwolves,,,Timberwolves,,Target Center,,,Western,,NORTHWEST,,0,,0,,1,,"Chris Finch	",,Sachin Gupta
New Orleans Pelicans,,,Pelicans,,Smoothie King Center,,,Western,,SOUTHWEST,,0,,0,,1,,"Willie Green	",,"Trajan Langdon	"
New York Knicks,,,Knicks,,Madison Square Garden,,,Eastern,,Atlantic,,2,,4,,8,,"Tom Thibodeau	",,"Scott Perry	"
Oklahoma City Thunder,,,Thunder,,Chesapeake Energy Arena,,,Western,,NORTHWEST,,1,,4,,11,,"Billy Donovan	",,"Sam Presti	"
Orlando Magic,,,Magic,,Amway Center,,,Eastern,,SOUTHEAST,,0,,2,,6,,"Jamahl Mosley	",,"John Hammond	"
Philadelphia 76ers,,,76ers,,Wells Fargo Center,,,Eastern,,Atlantic,,3,,5,,12,,"Doc Rivers	",,"Elton Brand	"
Phoenix Suns,,,Suns,,Talking Stick Resort Arena,,,Western,,PACIFIC,,0,,3,,7,,"Monty Williams	",,"James Jones	"
Portland Trail Blazers,,,Trail Blazers,,Moda Center,,,Western,,NORTHWEST,,1,,3,,6,,"Chauncey Billups	",,"Neil Olshey	"
Sacramento Kings,,,Kings,,Golden 1 Center,,,Western,,PACIFIC,,1,,0,,5,,"Luke Walton	",,"Monte McNair	"
San Antonio Spurs,,,Spurs,,AT&T Center,,,Western,,SOUTHWEST,,5,,6,,22,,"Gregg Popovich	",,"Brian Wright	"
Toronto Raptors,,,Raptors,,Scotiabank Arena,,,Eastern,,Atlantic,,1,,1,,7,,"Nick Nurse	",,"Bobby Webster	"
Utah Jazz,,,Jazz,,Vivint Smart Home Arena,,,Western,,NORTHWEST,,0,,2,,10,,"Quin Snyder	",,"Justin Zanik	"
Washington Wizards,,,Wizards,,Capital One Arena,,,Eastern,,SOUTHEAST,,1,,4,,8,,"Wes Unseld Jr.	",,"Tommy Sheppard	"
